,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975
0,2023-04-15,t2m,6 hour,8.7080520499289,8.93185760822866,9.201891697512306,9.328369029550826,9.658038130831294
1,2023-04-15,t2m,12 hour,9.129026181450564,9.387343594973137,9.514179444544638,9.602630004636023,9.777607587788658
2,2023-04-15,t2m,18 hour,8.872014149665645,9.296624756517971,9.43111762335161,9.574720977180382,9.669781251551633
3,2023-04-15,t2m,24 hour,8.738326612959927,9.087961979483962,9.393677120839588,9.476727812503935,9.625726605733362
4,2023-04-15,t2m,30 hour,8.331819720418183,8.887185460272693,9.091583809436477,9.320311406429205,9.532007274814465
5,2023-04-15,t2m,36 hour,8.218311655630618,8.763543605151916,8.95376748925748,9.183525216262558,9.373072022915007
6,2023-04-15,t2m,42 hour,7.150121956431908,7.669610575437754,7.903872336659114,8.338608574967061,8.769084777088723
7,2023-04-15,t2m,48 hour,6.6134705041791255,7.07442251008634,7.26817033183435,7.941965104792678,8.45098520988339
8,2023-04-15,t2m,54 hour,8.7080520499289,8.956913545655478,9.222495537954922,9.328369029550826,9.658038130831294
9,2023-04-15,t2m,60 hour,9.129026181450564,9.387343594973137,9.518100045661246,9.604730542365056,9.812343671037715
10,2023-04-15,t2m,66 hour,8.909791572709642,9.296624756517971,9.43111762335161,9.57542657264294,9.687818383682739
11,2023-04-15,t2m,72 hour,8.75651243225179,9.153725073784862,9.405233698611228,9.476727812503935,9.625726605733362
12,2023-04-15,t2m,78 hour,8.270502744637913,8.887185460272693,9.114786556001071,9.344854176354517,9.532007274814465
13,2023-04-15,t2m,84 hour,8.331522671278256,8.811581351147606,8.984797773876796,9.183525216262558,9.373072022915007
14,2023-04-15,t2m,90 hour,7.147899712024628,7.671062832395479,7.880610144232149,8.338608574967061,8.769084777088723
15,2023-04-15,t2m,96 hour,6.6134705041791255,7.07442251008634,7.386987682767889,7.941965104792678,8.45098520988339
16,2023-04-15,t2m,102 hour,8.715099973565929,8.969895398518352,9.230985157033022,9.328369029550826,9.658038130831294
17,2023-04-15,t2m,108 hour,9.129026181450564,9.397602906066005,9.518100045661246,9.607224907238976,9.812343671037715
18,2023-04-15,t2m,114 hour,8.909791572709642,9.307689934892343,9.439468282977492,9.599177827847377,9.71123651057511
19,2023-04-15,t2m,120 hour,8.855356292757262,9.254223187525712,9.415086460903005,9.518250277472747,9.625726605733362
20,2023-04-15,wind,6 hour,2.4560933375273093,2.8491357539707716,3.028377112734983,3.127522235107655,3.4236268212929404
21,2023-04-15,wind,12 hour,2.724825205804326,2.9395501182671557,3.0068433985999854,3.1117662280322267,3.2337541077281573
22,2023-04-15,wind,18 hour,2.2815374044141397,2.7283283581834876,2.9317698435589272,3.033389278542227,3.1407323490539243
23,2023-04-15,wind,24 hour,2.0403265850247174,2.3945379776437554,2.5683189878605748,2.7317533107942045,2.859055071279399
