time,number,latitude,longitude,cape,mx2t6,mn2t6,tcw,sshf,slhf,u10,v10,t2m,d2m,ssr,str,cin,sm,st,tcc,tp
2023-04-15 06:00:00,1,50.75,4.25,8.318886,282.18634,280.39786,15.877981,261377.0,-330752.0,-1.3577391,-3.7429986,280.38275,279.20758,33800.0,-363720.0,,397.62003,281.2923,99.99945,2.8384838
2023-04-15 06:00:00,2,50.75,4.25,1.1322708,281.6049,280.37976,15.746726,209856.0,-300095.0,-1.40251,-3.5130138,280.48132,279.30215,40732.0,-360086.0,,391.014,281.37347,99.99945,1.9344373
2023-04-15 06:00:00,3,50.75,4.25,3.7210236,282.162,280.43127,16.21194,174605.0,-244620.0,-1.1079277,-3.520634,280.40244,279.21768,33800.0,-373411.0,,401.6857,281.4478,99.99945,2.340496
2023-04-15 06:00:00,4,50.75,4.25,1.3434982,280.82635,279.90445,15.461193,235346.0,-301068.0,-1.3584359,-3.1331234,280.12265,278.80182,33800.0,-369777.0,,396.32193,281.13025,99.99945,2.215075
2023-04-15 06:00:00,5,50.75,4.25,0.0,281.71973,280.29782,14.906006,174063.0,-203257.0,-0.97901523,-3.1872945,280.31805,278.81827,29180.0,-417826.0,,381.20325,281.4482,99.99945,0.8966551
2023-04-15 06:00:00,6,50.75,4.25,3.7210236,281.86447,280.49625,15.821351,167826.0,-278197.0,-1.2824821,-3.2877398,280.54282,279.27853,31488.0,-361701.0,,388.64703,281.57898,99.99945,2.080646
2023-04-15 06:00:00,7,50.75,4.25,1.9722672,280.7575,280.0704,15.442141,169453.0,-259705.0,-0.5764252,-2.804356,280.29117,279.0213,34956.0,-376237.0,,385.53854,281.3242,99.99945,1.8930922
2023-04-15 06:00:00,8,50.75,4.25,0.6754303,281.19022,280.24374,16.468893,123627.0,-249486.0,-0.98859656,-3.2474232,280.2613,279.11914,24556.0,-353626.0,,392.27167,281.44937,99.99945,2.9736056
2023-04-15 06:00:00,9,50.75,4.25,0.35858917,281.58328,280.17484,14.163464,196298.0,-214449.0,-0.89487374,-3.2132025,280.2374,278.5782,44200.0,-414999.0,,386.48996,281.20273,99.99945,0.926682
2023-04-15 06:00:00,10,50.75,4.25,5.0203094,282.01068,280.39786,15.767366,195756.0,-194011.0,-0.6365262,-3.3033953,280.55154,279.0735,29180.0,-430746.0,,392.88217,281.55457,99.99945,0.8904185
